SEASON_YEAR,TEAM_ABBREVIATION,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_PG_RANK,FGA_PG_RANK,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,OPPONENT,HOME
2022-23,GSW,2022-10-18T00:00:00,W,32.803333333333335,10,22,0.455,4,13,0.308,9,9,1.0,1,5,6,7,4,4,1,2,1,5,33,20,61.7,0,0,60.0,1,1,1,1,41,22,18,34,30,17,45,4,4,1,8,26,22,16,15,1,4,49,9,13,16,5,9,13,2,10,1,0.315,0.278,0.297,0.286,0.351,0.643,0.529,0.167,0.192,0.188,0.292,0.5,0.444,0.5,0.667,0.059,0.385,0.33,15,35,30,44,35,6,8,11,36,30,25,53,7,2,49,13,15,26,3,2,3,10,10,2,21,48,33,27,23,10,13,1,54,52,119.8,122.0,122.0,96.1,100.0,100.0,23.7,22.0,22.0,0.269,1.75,19.4,0.025,0.143,0.08,11.1,10.8,0.545,0.636,0.335,121.98,118.52,98.77,118.52,0.194,82,10.0,22.0,26,27,27,8,12,12,13,15,15,24,28,28,23,30,32,35,35,39,31,13,1,1,1,14,22,18,0.409,0.591,0.364,0.061,0.364,0.091,0.272,0.091,0.303,0.333,0.667,0.75,0.25,0.5,0.5,38,18,24,35,47,31,7,42,21,25,24,14,40,21,27,LAL,1
2022-23,GSW,2022-10-21T00:00:00,L,35.916666666666664,10,22,0.455,5,11,0.455,9,9,1.0,1,4,5,4,3,0,0,1,2,6,34,9,43.0,0,0,48.0,1,31,31,31,26,22,18,34,20,28,26,4,4,1,8,37,36,41,26,34,18,27,23,5,13,26,31,13,2,29,1,0.315,0.294,0.324,0.385,0.324,0.45,0.429,0.25,0.211,0.217,0.143,0.3,0.0,0.0,1.0,0.133,0.375,0.337,17,30,18,27,41,25,20,6,32,19,50,33,34,18,51,29,16,23,3,0,0,8,17,6,14,32,33,34,40,22,41,12,39,15,121.3,126.3,126.3,118.6,115.0,115.0,2.8,11.3,11.3,0.167,1.33,12.5,0.029,0.129,0.077,9.4,9.1,0.568,0.655,0.332,107.48,106.91,89.1,106.91,0.139,80,10.0,22.0,24,16,16,41,33,33,30,25,25,44,32,45,18,35,37,28,29,33,29,15,19,14,14,41,22,18,0.5,0.5,0.294,0.059,0.441,0.0,0.265,0.088,0.235,0.6,0.4,1.0,0.0,0.8,0.2,10,40,34,39,39,40,9,43,33,9,46,1,47,2,54,DEN,1
2022-23,GSW,2022-10-23T00:00:00,W,31.35,11,22,0.5,7,12,0.583,4,4,1.0,0,5,5,2,2,1,0,0,3,3,33,19,43.0,0,0,49.0,1,1,1,1,47,16,18,26,7,25,5,29,32,1,30,26,36,54,37,15,18,1,35,29,16,9,31,13,2,26,1,0.333,0.333,0.349,0.583,0.444,0.308,0.235,0.0,0.238,0.192,0.125,0.333,0.2,0.0,0.0,0.25,0.231,0.363,10,14,11,3,7,40,44,30,20,27,53,36,18,18,1,50,36,14,6,0,3,2,10,10,13,40,13,34,23,52,13,31,34,37,127.3,126.4,126.4,100.2,102.9,102.9,27.1,23.5,23.5,0.091,1.0,7.1,0.0,0.135,0.072,7.1,7.2,0.659,0.694,0.337,109.72,108.71,90.59,108.71,0.17,72,11.0,22.0,12,15,15,12,15,15,10,12,12,54,39,54,30,32,39,18,18,22,23,12,10,10,10,21,16,18,0.455,0.545,0.242,0.182,0.636,0.091,0.122,0.182,0.061,0.0,1.0,0.143,0.857,0.091,0.909,26,30,44,6,3,31,36,19,56,49,1,56,1,56,1,SAC,1
2022-23,GSW,2022-10-25T00:00:00,L,29.923333333333332,7,17,0.412,4,9,0.444,3,5,0.6,0,7,7,8,1,1,0,1,1,5,21,-17,43.4,0,0,42.0,1,31,31,31,50,45,40,45,30,42,27,35,23,49,30,10,13,12,44,15,18,27,9,13,45,53,30,13,2,39,1,0.241,0.25,0.27,0.571,0.391,0.375,0.455,0.0,0.304,0.226,0.4,0.1,0.167,0.0,0.333,0.05,0.417,0.296,52,41,42,4,25,31,15,30,10,16,6,7,24,18,36,9,8,37,0,3,2,4,12,11,9,38,49,16,33,42,23,35,20,30,101.7,102.9,102.9,123.4,125.7,125.7,-21.7,-22.8,-22.8,0.381,8.0,29.6,0.0,0.206,0.1,3.7,3.5,0.529,0.547,0.26,113.22,111.48,92.9,111.48,0.163,69,7.0,17.0,47,49,49,46,46,46,52,52,52,9,3,8,30,10,19,9,9,42,49,50,3,4,4,24,45,40,0.471,0.529,0.286,0.095,0.571,0.095,0.143,0.0,0.19,0.0,1.0,0.75,0.25,0.429,0.571,22,34,37,17,16,29,30,49,38,49,1,14,40,35,18,PHX,0
2022-23,GSW,2022-10-27T00:00:00,W,36.935,13,22,0.591,7,14,0.5,0,0,0.0,1,6,7,9,3,1,0,1,0,2,33,13,54.9,0,0,58.0,1,1,1,1,18,7,18,10,7,10,13,53,53,53,8,14,13,8,26,15,18,27,1,46,16,20,12,13,2,12,1,0.269,0.342,0.293,0.467,0.368,0.0,0.0,0.083,0.214,0.175,0.375,0.188,0.333,0.0,0.333,0.0,0.222,0.347,45,13,34,15,29,53,53,25,28,35,10,16,11,18,36,1,41,20,2,10,3,10,12,5,15,28,42,1,23,10,23,10,42,8,117.0,125.0,125.0,106.3,105.1,105.1,10.7,19.9,19.9,0.36,3.0,26.5,0.026,0.154,0.091,8.8,8.8,0.75,0.75,0.268,102.9,100.07,83.39,100.07,0.219,76,13.0,22.0,30,21,21,21,17,17,26,17,17,14,10,13,20,25,25,25,25,8,13,46,43,52,52,10,7,18,0.364,0.636,0.364,0.061,0.636,0.091,0.0,0.061,0.303,0.167,0.833,0.571,0.429,0.385,0.615,41,15,24,35,3,31,53,47,21,43,9,31,24,43,14,MIA,1
2022-23,GSW,2022-10-29T00:00:00,L,38.903333333333336,10,22,0.455,3,13,0.231,8,8,1.0,0,11,11,6,2,1,0,0,5,4,31,-6,54.2,1,0,53.0,1,31,31,31,4,22,18,34,44,17,54,7,9,1,30,1,2,24,37,15,18,1,54,22,25,42,13,1,2,19,1,0.299,0.303,0.297,0.375,0.406,0.727,0.571,0.0,0.407,0.324,0.25,0.286,0.167,0.0,0.0,0.217,0.333,0.365,23,26,30,30,15,2,4,30,3,3,33,29,24,18,1,47,21,13,3,6,4,12,7,16,2,36,33,4,19,8,4,47,1,23,106.0,106.3,106.3,113.8,115.2,115.2,-7.7,-8.9,-8.9,0.261,3.0,18.8,0.0,0.262,0.131,6.3,6.0,0.523,0.607,0.316,98.8,98.09,81.74,98.09,0.186,80,10.0,22.0,45,44,44,34,34,34,41,42,42,28,10,32,30,7,7,16,15,45,37,21,56,55,55,17,22,18,0.409,0.591,0.452,0.065,0.29,0.129,0.258,0.097,0.387,0.286,0.714,1.0,0.0,0.5,0.5,38,18,11,32,53,24,10,39,9,35,21,1,47,21,27,CHA,0
2022-23,GSW,2022-10-30T00:00:00,L,34.97666666666667,10,24,0.417,4,14,0.286,8,9,0.889,0,6,6,3,1,2,0,1,1,6,32,-12,48.7,0,0,49.0,1,31,31,31,29,22,10,44,30,10,50,7,4,35,30,14,22,48,44,5,18,27,9,5,22,48,21,13,2,26,1,0.333,0.313,0.348,0.364,0.467,0.471,0.5,0.0,0.286,0.214,0.158,0.111,0.5,0.0,1.0,0.056,0.375,0.348,10,22,12,31,3,23,9,30,11,21,47,9,2,18,51,12,16,19,6,3,0,6,11,13,6,26,13,16,40,31,18,40,8,5,116.6,117.9,117.9,134.7,136.8,136.8,-18.1,-18.9,-18.9,0.136,3.0,9.4,0.0,0.2,0.088,3.1,3.1,0.5,0.572,0.337,107.13,105.67,88.06,105.67,0.149,78,10.0,24.0,31,29,29,55,54,54,49,50,50,51,10,52,30,11,26,6,6,47,44,11,21,23,23,35,22,10,0.417,0.583,0.375,0.188,0.375,0.0,0.25,0.188,0.188,0.167,0.833,0.5,0.5,0.3,0.7,32,23,21,4,46,40,11,18,39,43,9,34,12,50,7,DET,0
2022-23,GSW,2022-11-01T00:00:00,L,34.49,7,14,0.5,4,10,0.4,5,5,1.0,4,9,13,13,5,1,0,0,3,4,23,3,56.1,1,1,55.0,1,31,31,31,33,45,51,26,30,34,31,19,23,1,1,6,1,2,7,15,18,1,35,22,42,31,11,1,1,17,1,0.259,0.241,0.233,0.308,0.294,0.556,0.455,0.667,0.409,0.464,0.565,0.333,0.167,0.0,0.0,0.167,0.333,0.288,47,47,52,40,46,12,15,1,2,1,1,36,24,18,1,33,21,38,0,5,2,4,17,7,3,30,49,8,33,42,41,15,3,12,108.3,111.1,111.1,106.7,110.0,110.0,1.6,1.1,1.1,0.591,2.6,38.2,0.125,0.265,0.197,14.7,14.6,0.643,0.71,0.266,101.59,98.81,82.34,98.81,0.235,72,7.0,14.0,42,40,40,22,26,26,31,32,32,1,18,2,1,5,2,45,46,23,21,48,50,54,54,6,45,51,0.286,0.714,0.261,0.087,0.522,0.087,0.217,0.0,0.174,0.333,0.667,0.5,0.5,0.429,0.571,54,3,38,20,25,35,18,49,44,25,24,34,12,35,18,MIA,0
2022-23,GSW,2022-11-03T00:00:00,L,38.346666666666664,13,22,0.591,8,15,0.533,5,5,1.0,1,2,3,9,5,0,0,0,3,6,39,4,51.1,0,0,59.0,1,31,31,31,8,7,18,10,2,4,11,19,23,1,8,50,49,8,7,34,18,1,35,5,7,30,18,13,2,11,1,0.295,0.317,0.275,0.421,0.395,0.625,0.455,0.167,0.091,0.107,0.321,0.5,0.0,0.0,0.0,0.12,0.4,0.358,26,19,40,21,23,7,15,11,51,49,15,53,34,18,1,25,11,16,14,3,0,4,14,15,5,42,2,16,40,42,31,45,5,44,122.7,125.3,125.3,121.5,126.5,126.5,1.2,-1.2,-1.2,0.321,1.8,24.3,0.024,0.059,0.039,13.5,13.1,0.773,0.806,0.308,109.68,106.4,88.66,106.4,0.182,87,13.0,22.0,22,20,20,44,47,47,34,33,33,20,27,15,26,52,49,42,41,6,5,25,11,18,18,18,7,18,0.318,0.682,0.256,0.154,0.615,0.0,0.129,0.359,0.103,0.2,0.8,0.625,0.375,0.462,0.538,48,8,40,8,12,40,33,3,53,40,15,23,32,32,25,ORL,0
2022-23,GSW,2022-11-07T00:00:00,W,37.71666666666667,17,24,0.708,7,12,0.583,6,7,0.857,0,8,8,8,0,0,0,0,2,6,47,20,68.6,0,0,70.0,1,1,1,1,11,2,10,2,7,25,5,13,12,38,30,8,8,12,53,34,18,1,23,5,3,5,3,13,2,3,1,0.297,0.425,0.338,0.538,0.4,0.545,0.412,0.0,0.242,0.2,0.32,0.0,0.0,0.0,0.0,0.143,0.353,0.452,25,4,14,9,19,13,23,30,19,26,16,1,34,18,1,31,20,5,8,0,2,16,18,7,15,40,4,34,33,3,43,15,42,37,126.1,125.3,125.3,98.5,98.8,98.8,27.5,26.5,26.5,0.348,0.0,22.9,0.0,0.178,0.103,0.0,0.0,0.854,0.868,0.303,106.72,106.9,89.09,106.9,0.306,83,17.0,24.0,15,19,19,10,10,10,7,9,9,17,53,16,30,17,17,1,1,2,1,27,22,15,15,1,2,10,0.5,0.5,0.426,0.085,0.447,0.043,0.127,0.17,0.34,0.5,0.5,0.429,0.571,0.471,0.529,10,40,14,22,38,39,34,23,17,13,35,46,11,31,26,SAC,1
