SEASON_YEAR,TEAM_ABBREVIATION,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,AVAILABLE_FLAG,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,OPPONENT,HOME,next_pts,next_asts,next_rbs,next_fg3,team_code,opponent_code
2022-23,GSW,2022-10-18T00:00:00,W,32.803333333333335,10,22,0.455,4,13,0.308,9,9,1.0,1,5,6,7,4,4,1,2,1,5,33,20,61.7,0,0,60.0,1,0.315,0.278,0.297,0.286,0.351,0.643,0.529,0.167,0.192,0.188,0.292,0.5,0.444,0.5,0.667,0.059,0.385,0.33,3,2,3,10,10,2,21,48,119.8,122.0,122.0,96.1,100.0,100.0,23.7,22.0,22.0,0.269,1.75,19.4,0.025,0.143,0.08,11.1,10.8,0.545,0.636,0.335,121.98,118.52,98.77,118.52,0.194,82,10.0,22.0,0.409,0.591,0.364,0.061,0.364,0.091,0.272,0.091,0.303,0.333,0.667,0.75,0.25,0.5,0.5,LAL,1,34.0,4.0,5.0,5.0,0,12
2022-23,GSW,2022-10-21T00:00:00,L,35.916666666666664,10,22,0.455,5,11,0.455,9,9,1.0,1,4,5,4,3,0,0,1,2,6,34,9,43.0,0,0,48.0,1,0.315,0.294,0.324,0.385,0.324,0.45,0.429,0.25,0.211,0.217,0.143,0.3,0.0,0.0,1.0,0.133,0.375,0.337,3,0,0,8,17,6,14,32,121.3,126.3,126.3,118.6,115.0,115.0,2.8,11.3,11.3,0.167,1.33,12.5,0.029,0.129,0.077,9.4,9.1,0.568,0.655,0.332,107.48,106.91,89.1,106.91,0.139,80,10.0,22.0,0.5,0.5,0.294,0.059,0.441,0.0,0.265,0.088,0.235,0.6,0.4,1.0,0.0,0.8,0.2,DEN,1,33.0,2.0,5.0,7.0,0,7
2022-23,GSW,2022-10-23T00:00:00,W,31.35,11,22,0.5,7,12,0.583,4,4,1.0,0,5,5,2,2,1,0,0,3,3,33,19,43.0,0,0,49.0,1,0.333,0.333,0.349,0.583,0.444,0.308,0.235,0.0,0.238,0.192,0.125,0.333,0.2,0.0,0.0,0.25,0.231,0.363,6,0,3,2,10,10,13,40,127.3,126.4,126.4,100.2,102.9,102.9,27.1,23.5,23.5,0.091,1.0,7.1,0.0,0.135,0.072,7.1,7.2,0.659,0.694,0.337,109.72,108.71,90.59,108.71,0.17,72,11.0,22.0,0.455,0.545,0.242,0.182,0.636,0.091,0.122,0.182,0.061,0.0,1.0,0.143,0.857,0.091,0.909,SAC,1,21.0,8.0,7.0,4.0,0,24
2022-23,GSW,2022-10-25T00:00:00,L,29.92333333333333,7,17,0.412,4,9,0.444,3,5,0.6,0,7,7,8,1,1,0,1,1,5,21,-17,43.4,0,0,42.0,1,0.241,0.25,0.27,0.571,0.391,0.375,0.455,0.0,0.304,0.226,0.4,0.1,0.167,0.0,0.333,0.05,0.417,0.296,0,3,2,4,12,11,9,38,101.7,102.9,102.9,123.4,125.7,125.7,-21.7,-22.8,-22.8,0.381,8.0,29.6,0.0,0.206,0.1,3.7,3.5,0.529,0.547,0.26,113.22,111.48,92.9,111.48,0.163,69,7.0,17.0,0.471,0.529,0.286,0.095,0.571,0.095,0.143,0.0,0.19,0.0,1.0,0.75,0.25,0.429,0.571,PHX,0,33.0,9.0,7.0,7.0,0,22
2022-23,GSW,2022-10-27T00:00:00,W,36.935,13,22,0.591,7,14,0.5,0,0,0.0,1,6,7,9,3,1,0,1,0,2,33,13,54.9,0,0,58.0,1,0.269,0.342,0.293,0.467,0.368,0.0,0.0,0.083,0.214,0.175,0.375,0.188,0.333,0.0,0.333,0.0,0.222,0.347,2,10,3,10,12,5,15,28,117.0,125.0,125.0,106.3,105.1,105.1,10.7,19.9,19.9,0.36,3.0,26.5,0.026,0.154,0.091,8.8,8.8,0.75,0.75,0.268,102.9,100.07,83.39,100.07,0.219,76,13.0,22.0,0.364,0.636,0.364,0.061,0.636,0.091,0.0,0.061,0.303,0.167,0.833,0.571,0.429,0.385,0.615,MIA,1,31.0,6.0,11.0,3.0,0,14
2022-23,GSW,2022-10-29T00:00:00,L,38.903333333333336,10,22,0.455,3,13,0.231,8,8,1.0,0,11,11,6,2,1,0,0,5,4,31,-6,54.2,1,0,53.0,1,0.299,0.303,0.297,0.375,0.406,0.727,0.571,0.0,0.407,0.324,0.25,0.286,0.167,0.0,0.0,0.217,0.333,0.365,3,6,4,12,7,16,2,36,106.0,106.3,106.3,113.8,115.2,115.2,-7.7,-8.9,-8.9,0.261,3.0,18.8,0.0,0.262,0.131,6.3,6.0,0.523,0.607,0.316,98.8,98.09,81.74,98.09,0.186,80,10.0,22.0,0.409,0.591,0.452,0.065,0.29,0.129,0.258,0.097,0.387,0.286,0.714,1.0,0.0,0.5,0.5,CHA,0,32.0,3.0,6.0,4.0,0,3
2022-23,GSW,2022-10-30T00:00:00,L,34.97666666666667,10,24,0.417,4,14,0.286,8,9,0.889,0,6,6,3,1,2,0,1,1,6,32,-12,48.7,0,0,49.0,1,0.333,0.313,0.348,0.364,0.467,0.471,0.5,0.0,0.286,0.214,0.158,0.111,0.5,0.0,1.0,0.056,0.375,0.348,6,3,0,6,11,13,6,26,116.6,117.9,117.9,134.7,136.8,136.8,-18.1,-18.9,-18.9,0.136,3.0,9.4,0.0,0.2,0.088,3.1,3.1,0.5,0.572,0.337,107.13,105.67,88.06,105.67,0.149,78,10.0,24.0,0.417,0.583,0.375,0.188,0.375,0.0,0.25,0.188,0.188,0.167,0.833,0.5,0.5,0.3,0.7,DET,0,23.0,13.0,13.0,4.0,0,8
2022-23,GSW,2022-11-01T00:00:00,L,34.49,7,14,0.5,4,10,0.4,5,5,1.0,4,9,13,13,5,1,0,0,3,4,23,3,56.1,1,1,55.0,1,0.259,0.241,0.233,0.308,0.294,0.556,0.455,0.667,0.409,0.464,0.565,0.333,0.167,0.0,0.0,0.167,0.333,0.288,0,5,2,4,17,7,3,30,108.3,111.1,111.1,106.7,110.0,110.0,1.6,1.1,1.1,0.591,2.6,38.2,0.125,0.265,0.197,14.7,14.6,0.643,0.71,0.266,101.59,98.81,82.34,98.81,0.235,72,7.0,14.0,0.286,0.714,0.261,0.087,0.522,0.087,0.217,0.0,0.174,0.333,0.667,0.5,0.5,0.429,0.571,MIA,0,39.0,9.0,3.0,8.0,0,14
2022-23,GSW,2022-11-03T00:00:00,L,38.34666666666666,13,22,0.591,8,15,0.533,5,5,1.0,1,2,3,9,5,0,0,0,3,6,39,4,51.1,0,0,59.0,1,0.295,0.317,0.275,0.421,0.395,0.625,0.455,0.167,0.091,0.107,0.321,0.5,0.0,0.0,0.0,0.12,0.4,0.358,14,3,0,4,14,15,5,42,122.7,125.3,125.3,121.5,126.5,126.5,1.2,-1.2,-1.2,0.321,1.8,24.3,0.024,0.059,0.039,13.5,13.1,0.773,0.806,0.308,109.68,106.4,88.66,106.4,0.182,87,13.0,22.0,0.318,0.682,0.256,0.154,0.615,0.0,0.129,0.359,0.103,0.2,0.8,0.625,0.375,0.462,0.538,ORL,0,47.0,8.0,8.0,7.0,0,20
2022-23,GSW,2022-11-07T00:00:00,W,37.71666666666667,17,24,0.708,7,12,0.583,6,7,0.857,0,8,8,8,0,0,0,0,2,6,47,20,68.6,0,0,70.0,1,0.297,0.425,0.338,0.538,0.4,0.545,0.412,0.0,0.242,0.2,0.32,0.0,0.0,0.0,0.0,0.143,0.353,0.452,8,0,2,16,18,7,15,40,126.1,125.3,125.3,98.5,98.8,98.8,27.5,26.5,26.5,0.348,0.0,22.9,0.0,0.178,0.103,0.0,0.0,0.854,0.868,0.303,106.72,106.9,89.09,106.9,0.306,83,17.0,24.0,0.5,0.5,0.426,0.085,0.447,0.043,0.127,0.17,0.34,0.5,0.5,0.429,0.571,0.471,0.529,SAC,1,40.0,5.0,4.0,6.0,0,24
