,SEASON_YEAR,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_PG_RANK,FGA_PG_RANK,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,OPPONENT,HOME
0,2020-21,MIA,2020-12-23T00:00:00,MIA @ ORL,L,35.7,7,15,0.467,0,0,0.0,5,5,1.0,1,2,3,7,6,7,0,0,1,5,19,-5,48.1,0,0,43.0,1,34,34,34,19,23,22,32,18,45,18,38,41,1,29,46,44,28,1,1,16,1,10,30,31,40,21,18,5,21,1,100.9,101.2,101.2,105.5,106.1,106.1,-4.6,-4.9,-4.9,0.28,1.17,23.3,0.036,0.05,0.044,20.0,19.9,0.467,0.552,0.277,0.279,110.06,109.58,91.32,109.58,0.137,81,7.0,15.0,40,40,40,28,30,30,39,40,40,36,42,31,33,51,51,50,50,34,39,19,21,2,2,2,43,23,22,0.219,0.25,0.0,0.0,0.455,0.417,0.5,0.074,0.103,0.333,0.333,1.0,0.0,0.0,0.059,0.385,0.232,32,24,18,45,33,35,5,51,50,34,38,1,16,1,14,32,40,1.0,0.0,0.737,0.105,0.0,0.263,0.263,0.316,0.632,0.571,0.429,0.0,0.0,0.571,0.429,1,45,10,23,18,9,37,8,13,7,45,13,8,9,43,ORL,False
1,2020-21,MIA,2020-12-25T00:00:00,MIA vs. NOP,W,16.216666666666665,2,7,0.286,0,1,0.0,0,0,0.0,3,3,6,5,1,1,0,0,0,1,4,-8,20.7,0,0,17.0,1,1,1,1,52,51,50,49,18,30,18,50,50,50,7,40,32,35,30,32,16,1,1,51,51,44,50,18,5,51,1,105.2,106.3,106.3,130.6,131.3,131.3,-25.4,-25.0,-25.0,0.5,5.0,38.5,0.176,0.231,0.2,7.7,7.7,0.286,0.286,0.222,0.227,95.43,94.72,78.93,94.72,0.123,32,2.0,7.0,37,36,36,51,50,50,48,48,48,5,13,6,1,5,1,28,28,49,51,39,40,40,39,39,47,51,50,0.167,0.241,0.0,0.071,0.0,0.0,1.0,0.375,0.545,0.556,0.2,0.5,0.0,0.0,0.0,0.25,0.118,45,26,18,28,50,50,1,2,1,2,21,8,16,1,1,46,51,0.857,0.143,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,32,19,1,1,18,44,50,44,31,8,36,13,8,10,35,NOP,True
2,2020-21,MIA,2021-01-01T00:00:00,MIA @ DAL,L,26.816666666666666,0,6,0.0,0,0,0.0,2,3,0.667,1,2,3,2,3,2,0,2,1,2,2,-18,11.6,0,0,11.0,1,34,34,34,48,52,52,52,18,45,18,47,46,44,29,46,44,50,8,19,16,41,10,49,52,49,52,18,5,52,1,63.8,66.0,66.0,94.7,100.0,100.0,-30.9,-34.0,-34.0,0.167,0.67,16.7,0.031,0.071,0.05,25.0,24.4,0.0,0.137,0.167,0.178,99.16,94.87,79.06,94.87,-0.041,53,0.0,6.0,52,52,52,11,13,13,50,50,50,50,44,45,38,47,46,51,51,52,52,52,52,25,38,38,52,52,52,0.0,0.143,0.0,0.0,0.25,0.273,0.333,0.095,0.125,0.222,0.273,0.4,0.0,0.667,0.067,0.167,0.057,52,52,18,45,49,47,23,47,44,47,31,18,16,42,17,51,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,52,36,18,44,1,44,51,47,52,13,8,49,52,DAL,False
3,2020-21,MIA,2021-01-04T00:00:00,MIA vs. OKC,W,25.7,6,12,0.5,0,2,0.0,6,6,1.0,0,3,3,6,0,1,0,1,1,4,18,17,33.6,0,0,29.0,1,1,1,1,49,30,35,23,18,15,18,32,34,1,46,40,44,31,46,32,16,24,10,39,34,3,47,18,5,47,1,128.7,127.5,127.5,89.7,94.1,94.1,39.0,33.3,33.3,0.333,0.0,28.6,0.0,0.107,0.067,0.0,0.0,0.5,0.615,0.278,0.284,97.16,95.25,79.38,95.25,0.179,51,6.0,12.0,5,6,6,5,7,7,3,3,3,31,46,22,46,41,41,1,1,26,22,18,18,32,35,35,25,30,35,0.25,0.293,0.0,0.111,0.75,0.75,0.0,0.12,0.115,0.333,0.0,0.25,0.0,0.5,0.125,0.8,0.277,26,9,18,11,8,6,46,44,48,34,1,31,16,36,30,1,26,0.833,0.167,0.667,0.0,0.0,0.111,0.333,0.222,0.667,0.333,0.667,0.0,0.0,0.333,0.667,37,16,17,36,18,28,19,18,8,29,21,13,8,29,19,OKC,True
4,2020-21,MIA,2021-01-06T00:00:00,MIA vs. BOS,L,33.13333333333333,9,19,0.474,0,3,0.0,8,9,0.889,2,6,8,3,1,0,3,1,0,7,26,8,48.1,0,0,43.0,1,34,34,34,35,12,6,29,18,8,18,16,19,20,14,15,13,48,30,47,1,24,1,15,17,24,21,18,5,21,1,115.5,118.2,118.2,107.0,106.1,106.1,8.4,12.1,12.1,0.2,3.0,11.1,0.065,0.14,0.108,3.7,3.7,0.474,0.566,0.338,0.34,96.31,95.61,79.68,95.61,0.19,66,9.0,19.0,25,23,23,31,29,29,27,20,20,45,25,50,19,30,26,13,14,31,35,6,6,35,32,32,21,12,6,0.375,0.352,0.0,0.115,0.4,0.375,0.667,0.207,0.25,0.188,0.167,0.0,0.5,0.333,0.0,0.412,0.333,6,3,18,10,41,40,3,30,23,50,18,47,2,31,1,28,11,0.842,0.158,0.692,0.154,0.0,0.154,0.308,0.0,0.538,0.111,0.889,0.0,0.0,0.111,0.889,36,17,15,14,18,21,28,44,25,44,8,13,8,46,6,BOS,True
5,2020-21,MIA,2021-01-09T00:00:00,MIA @ WAS,W,36.013333333333335,10,18,0.556,0,1,0.0,6,6,1.0,3,7,10,9,0,2,1,1,1,4,26,11,60.5,1,0,51.0,1,1,1,1,17,6,10,13,18,30,18,32,34,1,7,8,5,11,46,19,3,24,10,39,17,10,6,1,5,7,1,115.5,114.3,114.3,100.5,100.0,100.0,15.0,14.3,14.3,0.375,0.0,30.0,0.079,0.156,0.12,0.0,0.0,0.556,0.63,0.226,0.227,111.77,112.62,93.85,112.62,0.214,84,10.0,18.0,24,29,29,17,13,13,15,15,15,20,46,16,12,26,20,1,1,18,20,37,39,1,1,1,15,6,10,0.294,0.261,0.0,0.034,0.316,0.261,0.375,0.175,0.208,0.375,0.0,0.667,0.25,1.0,0.071,0.25,0.271,17,18,18,43,46,48,20,37,32,29,1,3,7,46,19,46,30,0.944,0.056,0.769,0.154,0.0,0.077,0.231,0.154,0.615,0.5,0.5,0.0,0.0,0.5,0.5,10,43,5,14,18,33,42,26,14,8,36,13,8,10,35,WAS,False
6,2020-21,MIA,2021-01-30T00:00:00,MIA vs. SAC,W,33.6,8,19,0.421,0,2,0.0,14,16,0.875,1,6,7,8,0,0,0,2,1,9,30,-7,50.4,0,0,45.0,1,1,1,1,34,18,6,42,18,15,18,1,1,23,29,15,27,20,46,47,16,41,10,5,3,42,18,18,5,18,1,107.0,107.4,107.4,117.7,114.3,114.3,-10.7,-6.9,-6.9,0.471,0.0,22.9,0.033,0.194,0.115,0.0,0.0,0.421,0.576,0.351,0.356,97.29,98.57,82.14,98.57,0.228,68,8.0,19.0,36,35,35,43,38,38,41,41,41,10,46,33,36,16,21,1,1,45,33,3,4,31,22,22,10,18,6,0.32,0.352,0.0,0.1,0.778,0.762,0.2,0.286,0.269,0.5,0.0,0.0,0.0,1.0,0.125,0.529,0.411,11,3,18,15,4,5,35,11,17,6,1,47,16,46,30,11,2,0.895,0.105,0.533,0.0,0.0,0.067,0.467,0.233,0.533,0.375,0.625,0.0,0.0,0.375,0.625,22,29,36,36,18,38,8,17,26,24,25,13,8,26,25,SAC,True
7,2020-21,MIA,2021-02-01T00:00:00,MIA vs. CHA,L,37.233333333333334,9,17,0.529,0,3,0.0,7,10,0.7,3,6,9,5,3,4,0,1,2,7,25,-7,52.3,0,0,47.0,1,34,34,34,10,12,12,18,18,8,18,23,15,43,7,15,12,35,8,4,16,24,32,15,21,42,13,18,5,16,1,110.0,112.2,112.2,121.8,121.6,121.6,-11.8,-9.5,-9.5,0.238,1.67,16.7,0.081,0.176,0.127,10.0,10.2,0.529,0.584,0.287,0.289,96.3,95.4,79.5,95.4,0.177,74,9.0,17.0,34,31,31,48,46,46,42,43,43,40,35,45,10,18,14,34,37,22,32,14,16,36,34,34,27,12,12,0.3,0.258,0.0,0.103,0.583,0.588,0.333,0.25,0.273,0.294,0.273,0.667,0.0,0.25,0.118,0.389,0.301,15,19,18,14,17,14,23,20,15,40,31,3,16,26,29,30,22,0.824,0.176,0.72,0.16,0.0,0.16,0.28,0.08,0.56,0.222,0.778,0.0,0.0,0.222,0.778,38,15,12,13,18,20,33,37,21,37,15,13,8,41,11,CHA,True
8,2020-21,MIA,2021-02-03T00:00:00,MIA vs. WAS,L,37.15,5,11,0.455,0,1,0.0,9,11,0.818,3,5,8,9,0,1,0,0,1,9,19,-1,45.1,0,0,38.0,1,34,34,34,12,40,37,36,18,30,18,12,11,34,7,24,13,11,46,32,16,1,10,5,31,39,28,18,5,31,1,97.5,100.0,100.0,103.6,101.3,101.3,-6.1,-1.3,-1.3,0.409,0.0,36.0,0.073,0.128,0.1,0.0,0.0,0.455,0.6,0.186,0.187,97.09,96.9,80.75,96.9,0.211,75,5.0,11.0,42,41,41,26,16,16,40,37,37,16,46,8,14,34,31,1,1,38,26,48,49,33,27,27,17,40,37,0.185,0.164,0.0,0.037,0.643,0.611,0.375,0.167,0.211,0.563,0.0,0.143,0.0,0.0,0.071,0.6,0.253,40,47,18,42,16,13,20,38,31,1,1,43,16,1,19,4,35,0.909,0.091,0.526,0.105,0.0,0.105,0.474,0.263,0.421,0.4,0.6,0.0,0.0,0.4,0.6,18,33,39,23,18,30,7,12,35,17,29,13,8,21,27,WAS,True
9,2020-21,MIA,2021-02-05T00:00:00,MIA vs. WAS,W,25.633333333333333,4,7,0.571,0,0,0.0,6,8,0.75,1,7,8,9,2,3,1,2,1,4,14,34,47.1,0,0,39.0,1,1,1,1,50,44,50,12,18,45,18,32,24,42,29,8,13,11,22,9,3,41,10,39,45,1,26,18,5,30,1,142.7,149.1,149.1,83.8,85.7,85.7,58.9,63.4,63.4,0.375,4.5,42.9,0.056,0.219,0.16,9.5,9.3,0.571,0.665,0.203,0.21,107.45,103.93,86.61,103.93,0.219,55,4.0,7.0,1,1,1,1,2,2,1,1,1,20,17,4,23,10,5,33,32,14,13,45,45,3,3,3,13,44,50,0.143,0.156,0.0,0.0,0.429,0.471,0.5,0.318,0.333,0.45,0.286,0.6,0.333,0.5,0.091,0.333,0.171,48,50,18,45,39,26,5,6,6,14,36,5,5,36,23,39,48,1.0,0.0,0.571,0.0,0.0,0.143,0.429,0.143,0.571,0.25,0.75,0.0,0.0,0.25,0.75,1,45,32,36,18,24,13,28,19,34,16,13,8,37,12,WAS,True
